# anchorsX, anchorsY
5.727498283423946305e+03,1.876256256405797467e+04
5.736388634945837111e+03,1.878742958371737768e+04
5.739058430390075046e+03,1.887323580933254925e+04
5.743530008648719559e+03,1.895531373266565060e+04
5.745666487968572255e+03,1.902129153238738945e+04
5.750440508618892636e+03,1.913428283673437909e+04
5.751802502195575471e+03,1.915948963397244370e+04
5.757148085078451004e+03,1.929500345901815672e+04
5.758655726585662705e+03,1.931567083570818068e+04
5.768421732743858229e+03,1.947439414933341686e+04
5.772011242177628446e+03,1.950239915983932588e+04
5.775159914910954285e+03,1.954176439545450557e+04
5.778512682631149801e+03,1.966075871360694146e+04
5.780758583325490690e+03,1.969943792238070091e+04
5.790397901882023689e+03,1.963852163773826760e+04
5.793740190815823553e+03,1.967786638693786881e+04
5.796639690690747557e+03,1.975368016403369256e+04
5.798322065450076479e+03,1.981446530826224262e+04
5.802317243477496049e+03,1.987917910892290456e+04
5.804543354281319807e+03,1.993140521875249033e+04
5.811614495157432430e+03,2.028523091384005966e+04
5.815512143181487772e+03,2.028388593619557287e+04
5.820247129233081978e+03,2.029351190563368073e+04
5.822557803622403299e+03,2.025004913210874292e+04
5.827424868756153046e+03,2.028071179275581744e+04
5.827765035283579891e+03,2.028497994214690334e+04
5.831634611660932933e+03,2.038513838309514904e+04
5.832227914470802716e+03,2.039514320092606431e+04
5.834047104183411648e+03,2.043274086143338354e+04
5.840598938692503907e+03,2.042543168731462356e+04
5.843190548001144634e+03,2.039301247927728036e+04
5.844818198570679670e+03,2.035309067038264402e+04
5.846787579403536256e+03,2.031650242654277099e+04
5.846924095730660156e+03,2.031492960532289726e+04
5.850923487757659132e+03,2.021504424471718448e+04
5.852006720480328113e+03,2.019063486833688512e+04
5.866107009298048979e+03,1.979551971919171410e+04
5.871578408723211396e+03,1.990514219565074018e+04
5.873517623610822739e+03,1.996972831629923894e+04
5.878309641300849762e+03,2.003681003314049667e+04
5.881751720589435536e+03,2.009162984730158496e+04
5.883311616320483154e+03,2.013819088504903630e+04
5.904376279316476939e+03,2.100153800317596688e+04
5.912732524847655441e+03,2.111589811258318878e+04
5.918948240389294369e+03,2.122413712663913975e+04
5.925002502336749785e+03,2.141788895053397209e+04
5.927325109078420610e+03,2.146943188298062523e+04
5.928699334766912216e+03,2.148577191422088072e+04
5.933912423082673740e+03,2.149960458593586009e+04
5.937832674418891656e+03,2.155082638474746273e+04
5.940487243202136597e+03,2.148181810571738242e+04
5.947634718161811179e+03,2.151323452052966604e+04
5.957065466483910313e+03,2.159717533973904574e+04
5.962611759896643889e+03,2.153814800246408777e+04
5.966411662084849922e+03,2.157184949676726683e+04
5.968053729900810140e+03,2.155017158139518506e+04
5.974118366171144771e+03,2.154607372027292149e+04
5.981775167488084662e+03,2.163272338254150964e+04
5.983810654368548967e+03,2.167216022523552238e+04
5.989271972227730657e+03,2.184122423035477550e+04
